month,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA,SHARE_GPR,N10,SHARE_GPRH,N3H,GPRH_NOEW,GPR_NOEW,GPRH_AND,GPR_AND,GPRH_BASIC,GPR_BASIC,SHAREH_CAT_1,SHAREH_CAT_2,SHAREH_CAT_3,SHAREH_CAT_4,SHAREH_CAT_5,SHAREH_CAT_6,SHAREH_CAT_7,SHAREH_CAT_8,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF,var_name,var_label
12/31/1899,,,,87.927848815918,64.7174911499023,110.453521728516,,,3.17193174362183,7724,92.1898193359375,,116.949104309082,,84.107795715332,,0.517866373062134,0.0129466596990824,0.699119627475739,0,0,1.32055926322937,0.945106148719788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258933193981648,0.0776799619197846,0.0906266197562218,0.0129466596990824,0.0906266197562218,0.0388399809598923,0.0129466596990824,0.233039870858192,0.0258933193981648,0.530813038349152,0.0129466596990824,0.0517866387963295,0.556706368923187,0.0258933193981648,0.673226296901703,1.54065251350403,0,0.0258933193981648,0,0.271879851818085,0,0.0517866387963295,0.0906266197562218,0.0129466596990824,0.0647332966327667,0,0.24598653614521,0.0129466596990824,0.0129466596990824,0.880372881889343,0.0517866387963295,0.24598653614521,0.258933186531067,0,0.0129466596990824,0.0776799619197846,0,0.0388399809598923,0,0,2.71879863739014,0.0517866387963295,0.0129466596990824,1.15225267410278,month,Date (year/month)
01/31/1900,,,,86.5664901733398,71.9368438720703,96.25048828125,,,3.12282180786133,7173,91.0323257446289,,131.074981689453,,79.7003784179688,,0.473999708890915,0.125470519065857,0.766764283180237,0,0.0139411678537726,1.12923467159271,0.836470067501068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0139411678537726,0.153352856636047,0.153352856636047,0.0278823357075453,0.0975881814956665,0.0836470127105713,0.0139411678537726,0.0975881814956665,0,0.64129376411438,0.0278823357075453,0.195176362991333,0.390352725982666,0,0.961940586566925,1.88205766677856,0,0.0418235063552856,0,0.390352725982666,0.0139411678537726,0.195176362991333,0.0418235063552856,0,0.0975881814956665,0,0.306705713272095,0.0139411678537726,0.0139411678537726,0.473999708890915,0.0139411678537726,0.139411687850952,0.334588050842285,0,0,0.0836470127105713,0,0.125470519065857,0,0,2.73246908187866,0.0278823357075453,0,1.14317584037781,GPR,Recent GPR (Index: 1985:2019=100)
03/01/1900,,,,72.1407012939453,57.4758529663086,84.4994277954102,,,2.60242199897766,7762,77.067756652832,,112.938850402832,,65.7013854980469,,0.450914710760117,0.0772996619343758,0.566864192485809,0,0.0386498309671879,1.26256120204926,0.463797986507416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0128832776099443,0.128832772374153,0.103066220879555,0.0128832776099443,0.180365890264511,0.0257665552198887,0,0.141716048121452,0.0128832776099443,0.463797986507416,0,0.0901829451322556,0.386498332023621,0,0.541097640991211,1.35274410247803,0,0.0386498309671879,0,0.283432096242905,0.0386498309671879,0.180365890264511,0.103066220879555,0.0644163861870766,0.0515331104397774,0,0.20613244175911,0.0257665552198887,0.0128832776099443,0.347848504781723,0.0128832776099443,0.0515331104397774,0.386498332023621,0,0.0128832776099443,0.115949496626854,0,0.180365890264511,0,0,2.15150737762451,0.0257665552198887,0,0.863179564476013,GPRT,Recent GPR Threats (Index: 1985:2019=100)
04/01/1900,,,,54.4194488525391,37.326602935791,65.8582077026367,,,1.96314108371735,7488,61.9852485656738,,99.7780380249023,,53.7903480529785,,0.387286335229874,0,0.32051283121109,0,0,0.64102566242218,0.734508574008942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0801282078027725,0.0267094019800425,0,0.0801282078027725,0.0133547009900212,0,0.10683760792017,0.0534188039600849,0.21367521584034,0.0400641039013863,0.0133547009900212,0.293803423643112,0.0267094019800425,0.387286335229874,1.12179481983185,0,0,0,0.120192304253578,0,0.0934829041361809,0.146901711821556,0.0267094019800425,0.0534188039600849,0,0.0400641039013863,0.0133547009900212,0.0267094019800425,0.333867520093918,0,0.0801282078027725,0.267094016075134,0,0,0.0400641039013863,0,0.0667735040187836,0,0,1.77617526054382,0,0,0.64102566242218,GPRA,Recent GPR Acts (Index: 1985:2019=100)
05/01/1900,,,,64.4051971435547,48.200008392334,74.3739547729492,,,2.32336950302124,7360,64.2383346557617,,105.352043151855,,55.6085090637207,,0.51630437374115,0.0407608710229397,0.35326087474823,0,0,0.692934811115265,0.883152186870575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.122282609343529,0.027173912152648,0.0543478243052959,0.258152186870575,0.013586956076324,0.027173912152648,0.108695648610592,0.0543478243052959,0.407608687877655,0.027173912152648,0.0407608710229397,0.258152186870575,0,0.489130437374115,1.11413037776947,0,0.027173912152648,0,0.217391297221184,0,0.122282609343529,0.0679347813129425,0,0.0679347813129425,0,0.190217390656471,0.027173912152648,0,0.489130437374115,0,0.0815217420458794,0.176630437374115,0,0,0.163043484091759,0,0.0815217420458794,0,0,1.9701087474823,0.013586956076324,0,0.78804349899292,GPRH,Historical GPR (Index: 1900:2019=100)
06/01/1900,,,,83.6102523803711,70.0065765380859,93.9776916503906,,,3.01617765426636,7294,77.4673385620117,,124.273941040039,,76.1515655517578,,0.466136544942856,0.0548395924270153,0.79517412185669,0,0.0274197962135077,1.2476007938385,0.740334510803223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0685494914650917,0.123389087617397,0,0.0548395924270153,0.0274197962135077,0.0137098981067538,1.49437892436981,0.0548395924270153,0.685494899749756,0.0548395924270153,0.0548395924270153,0.137098982930183,0,0.987112700939179,1.60405814647675,0,0,0,0.3016177713871,0,0.205648481845856,0.726624608039856,0.0411296971142292,0.0548395924270153,0,0.137098982930183,0.0274197962135077,0.0274197962135077,0.534686028957367,0.0137098981067538,0.0685494914650917,0.945982992649078,0,0.0137098981067538,0.0822593942284584,0.0137098981067538,0.109679184854031,0.0274197962135077,0,2.72826981544495,0.0274197962135077,0.0411296971142292,0.671785056591034,GPRHT,Historical GPR Threats (Index: 1900:2019=100)
07/01/1900,,,,108.57112121582,87.0623779296875,125.709083557129,,,3.91662240028381,7532,95.8794860839844,,134.726196289063,,105.658462524414,,0.756771087646484,0.0796601176261902,0.809877872467041,0,0.0398300588130951,1.40732872486115,1.31439197063446,0.0132766859605908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0265533719211817,0.0663834288716316,0.0929368063807488,0.0398300588130951,0.0796601176261902,0.0663834288716316,0.0531067438423634,2.80138087272644,0.0531067438423634,1.10196495056152,0.0398300588130951,0.0531067438423634,0.477960705757141,0.0132766859605908,1.20817840099335,1.81890594959259,0.0132766859605908,0.0398300588130951,0.0132766859605908,0.624004244804382,0.0132766859605908,0.278810411691666,1.03558146953583,0.0663834288716316,0.119490176439285,0,0.0929368063807488,0.0132766859605908,0,0.624004244804382,0.0132766859605908,0.0398300588130951,1.03558146953583,0,0.0132766859605908,0.25225704908371,0,0.146043553948402,0.0398300588130951,0,3.5448751449585,0.0265533719211817,0.0265533719211817,0.292087107896805,GPRHA,Historical GPR Acts (Index: 1900:2019=100)
08/01/1900,,,,108.502815246582,63.8416442871094,149.760986328125,,,3.9141583442688,7409,95.914794921875,,126.37020111084,,115.742492675781,,0.512889742851257,0.0944796875119209,0.580375194549561,0,0.0269941966980696,1.43069243431091,1.67364013195038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0809825882315636,0.134970977902412,0,0.107976786792278,0,0,2.64543128013611,0,1.06627070903778,0.0134970983490348,0.0269941966980696,0.377918750047684,0.0134970983490348,1.0797678232193,1.90309083461761,0.0134970983490348,0.0404912941157818,0,0.256444871425629,0.0269941966980696,0.445404231548309,1.26872718334198,0.0674854889512062,0.0809825882315636,0,0.0944796875119209,0,0,0.53988391160965,0.0539883933961391,0.0269941966980696,1.10676205158234,0,0.0404912941157818,0.242947772145271,0.0134970983490348,0.0809825882315636,0.0404912941157818,0,3.54973673820496,0.0269941966980696,0.0134970983490348,0.242947772145271,SHARE_GPR,Percent of Recent GPR Articles
09/01/1900,,,,62.8133010864258,54.698413848877,67.5817794799805,,,2.26594305038452,7370,65.5202560424805,,108.190734863281,,62.5848731994629,,0.434192687273026,0.0542740859091282,0.556309342384338,0,0,0.705563068389893,0.678426027297974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542740859091282,0.0271370429545641,0.0407055616378784,0.0542740859091282,0.0407055616378784,0.0271370429545641,0.0678426027297974,0.909090936183929,0.0542740859091282,0.719131588935852,0,0.013568521477282,0.461329728364944,0.013568521477282,0.542740821838379,0.77340567111969,0,0.0271370429545641,0,0.122116692364216,0.0271370429545641,0.244233384728432,0.298507452011108,0.013568521477282,0.122116692364216,0,0.0271370429545641,0.013568521477282,0.0271370429545641,0.407055616378784,0.013568521477282,0.0949796438217163,0.786974191665649,0,0,0.135685205459595,0,0.0407055616378784,0.013568521477282,0,2.008141040802,0.013568521477282,0,0.176390767097473,N10,"Number of articles (10 recent newspapers, 1985-)"
10/01/1900,,,,43.3669319152832,31.7176265716553,51.4328498840332,,,1.56442975997925,7287,46.6832962036133,,88.7446746826172,,37.8894844055176,,0.247015237808228,0.0411692038178444,0.315630584955215,0,0,0.425415128469467,0.576368868350983,0.0548922754824162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0548922754824162,0.109784550964832,0,0.0411692038178444,0,0,0.439138203859329,0.013723068870604,0.315630584955215,0,0.0274461377412081,0.274461358785629,0.0274461377412081,0.274461358785629,0.452861249446869,0.0274461377412081,0.013723068870604,0,0.123507618904114,0,0.0548922754824162,0.0686153396964073,0.013723068870604,0.0411692038178444,0,0.0548922754824162,0.013723068870604,0.0411692038178444,0.411692053079605,0,0.013723068870604,0.17839989066124,0,0.013723068870604,0.0686153396964073,0,0.0274461377412081,0,0,1.26252233982086,0,0,0.205846026539803,SHARE_GPRH,Percent of Historical GPR Articles
